epoch,quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
0,features.14.conv.1.0.bias_quantizer,weight,8,5.0108,1,,32.28,0.0
0,features.14.conv.1.0.act_quantizer,act,8,5.1348,1,"(0.0, None)",,
0,features.14.conv.2.weight_quantizer,weight,8,-1.676,8,,38.83,0.0
0,features.14.conv.2.bias_quantizer,weight,8,4.5981,2,,40.39,0.0
0,features.14.conv.2.act_quantizer,act,8,4.0906,2,,,
0,features.15.conv.0.0.weight_quantizer,weight,8,-0.854,7,,33.06,0.0
0,features.15.conv.0.0.bias_quantizer,weight,8,4.1557,2,,37.34,0.0
0,features.15.conv.0.0.act_quantizer,act,8,6.1717,0,"(0.0, None)",,
0,features.15.conv.1.0.weight_quantizer,weight,8,-1.0,7,,37.85,0.0
0,features.15.conv.1.0.bias_quantizer,weight,8,4.6502,2,,20.0,0.00104
0,features.15.conv.1.0.act_quantizer,act,8,5.4235,1,"(0.0, None)",,
0,features.15.conv.2.weight_quantizer,weight,8,-0.9017,7,,33.17,0.0
0,features.15.conv.2.bias_quantizer,weight,8,3.385,3,,40.34,0.0
0,features.15.conv.2.act_quantizer,act,8,4.8599,2,,,
0,features.16.conv.0.0.weight_quantizer,weight,8,-0.3196,7,,33.81,3e-05
0,features.16.conv.0.0.bias_quantizer,weight,8,5.0,1,,34.91,0.0
0,features.16.conv.0.0.act_quantizer,act,8,5.8992,1,"(0.0, None)",,
0,features.16.conv.1.0.weight_quantizer,weight,8,-0.0118,7,,34.69,0.00069
0,features.16.conv.1.0.bias_quantizer,weight,8,5.0,1,,36.36,0.0
0,features.16.conv.1.0.act_quantizer,act,8,4.2722,2,"(0.0, None)",,
0,features.16.conv.2.weight_quantizer,weight,8,-0.3553,7,,34.61,3e-05
0,features.16.conv.2.bias_quantizer,weight,8,4.4462,2,,40.22,0.0
0,features.16.conv.2.act_quantizer,act,8,4.5861,2,,,
0,features.17.conv.0.0.weight_quantizer,weight,8,-1.275,8,,35.88,1e-05
0,features.17.conv.0.0.bias_quantizer,weight,8,4.2887,2,,34.42,0.0
0,features.17.conv.0.0.act_quantizer,act,8,5.8659,1,"(0.0, None)",,
0,features.17.conv.1.0.weight_quantizer,weight,8,-1.0225,8,,39.33,0.00035
0,features.17.conv.1.0.bias_quantizer,weight,8,4.0002,2,,34.18,0.0
0,features.17.conv.1.0.act_quantizer,act,8,3.0,3,"(0.0, None)",,
0,features.17.conv.2.weight_quantizer,weight,8,-2.0,8,,36.45,1e-05
0,features.17.conv.2.bias_quantizer,weight,8,3.739,3,,40.25,0.0
0,features.17.conv.2.act_quantizer,act,8,4.5156,2,,,
0,features.18.0.weight_quantizer,weight,8,-0.8427,7,,31.35,0.0
0,features.18.0.bias_quantizer,weight,8,2.6707,4,,48.68,0.0
0,features.18.0.act_quantizer,act,8,4.0709,2,"(0.0, None)",,
0,classifier.1.weight_quantizer,weight,8,-1.7694,8,,33.29,0.0
0,classifier.1.bias_quantizer,weight,8,-1.0041,8,,35.41,0.0
0,classifier.1.act_quantizer,act,8,4.0,2,,,
0,add.quantizer,act,8,6.4037,0,,,
0,add_1.quantizer,act,8,6.9867,0,,,
0,add_2.quantizer,act,8,6.5508,0,,,
0,add_3.quantizer,act,8,5.5622,1,,,
0,add_4.quantizer,act,8,5.6298,1,,,
0,add_5.quantizer,act,8,5.4521,1,,,
0,add_6.quantizer,act,8,4.7415,2,,,
0,add_7.quantizer,act,8,5.0021,1,,,
0,add_8.quantizer,act,8,4.8097,2,,,
0,add_9.quantizer,act,8,4.6048,2,,,
0,adaptive_avg_pool2d.quantizer,act,8,3.326,3,,,
0,quant_stub.quantizer,act,8,1.0,5,,,
1,features.0.0.weight_quantizer,weight,8,1.0002,5,,36.24,0.0
1,features.0.0.bias_quantizer,weight,8,3.8275,3,,22.75,0.0625
1,features.0.0.act_quantizer,act,8,4.0,2,"(0.0, None)",,
1,features.1.conv.0.0.weight_quantizer,weight,8,0.0456,6,,41.53,0.0
1,features.1.conv.0.0.bias_quantizer,weight,8,4.0879,2,,34.96,0.0
1,features.1.conv.0.0.act_quantizer,act,8,4.272,2,"(0.0, None)",,
1,features.1.conv.1.weight_quantizer,weight,8,-0.9347,7,,41.74,0.0
1,features.1.conv.1.bias_quantizer,weight,8,4.398,2,,37.94,0.0
1,features.1.conv.1.act_quantizer,act,8,2.8582,4,,,
