quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
features.13.conv.2.act_quantizer,act,8,7.0,0,,,
features.14.conv.0.0.weight_quantizer,weight,8,-1.0,8,,37.51,0.0
features.14.conv.0.0.bias_quantizer,weight,8,7.0,0,,25.68,0.0
features.14.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.14.conv.1.0.weight_quantizer,weight,8,-1.0,8,,44.15,0.0
features.14.conv.1.0.bias_quantizer,weight,8,6.0,1,,32.28,0.0
features.14.conv.1.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.14.conv.2.weight_quantizer,weight,8,-1.0,8,,38.93,0.0
features.14.conv.2.bias_quantizer,weight,8,5.0,2,,40.39,0.0
features.14.conv.2.act_quantizer,act,8,5.0,2,,,
features.15.conv.0.0.weight_quantizer,weight,8,0.0,7,,33.25,0.0
features.15.conv.0.0.bias_quantizer,weight,8,5.0,2,,37.34,0.0
features.15.conv.0.0.act_quantizer,act,8,8.0,-1,"(0.0, None)",,
features.15.conv.1.0.weight_quantizer,weight,8,0.0,7,,38.15,0.0
features.15.conv.1.0.bias_quantizer,weight,8,6.0,1,,30.79,0.0
features.15.conv.1.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.15.conv.2.weight_quantizer,weight,8,0.0,7,,33.29,0.0
features.15.conv.2.bias_quantizer,weight,8,4.0,3,,40.34,0.0
features.15.conv.2.act_quantizer,act,8,6.0,1,,,
features.16.conv.0.0.weight_quantizer,weight,8,1.0,6,,28.12,0.0
features.16.conv.0.0.bias_quantizer,weight,8,6.0,1,,34.91,0.0
features.16.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.16.conv.1.0.weight_quantizer,weight,8,1.0,6,,33.94,0.0
features.16.conv.1.0.bias_quantizer,weight,8,6.0,1,,36.36,0.0
features.16.conv.1.0.act_quantizer,act,8,5.0,2,"(0.0, None)",,
features.16.conv.2.weight_quantizer,weight,8,1.0,6,,29.31,0.0
features.16.conv.2.bias_quantizer,weight,8,5.0,2,,40.22,0.0
features.16.conv.2.act_quantizer,act,8,5.0,2,,,
features.17.conv.0.0.weight_quantizer,weight,8,0.0,7,,30.51,0.0
features.17.conv.0.0.bias_quantizer,weight,8,5.0,2,,34.42,0.0
features.17.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.17.conv.1.0.weight_quantizer,weight,8,0.0,7,,38.73,0.0
features.17.conv.1.0.bias_quantizer,weight,8,5.0,2,,34.18,0.0
features.17.conv.1.0.act_quantizer,act,8,5.0,2,"(0.0, None)",,
features.17.conv.2.weight_quantizer,weight,8,-1.0,8,,35.26,2e-05
features.17.conv.2.bias_quantizer,weight,8,4.0,3,,40.25,0.0
features.17.conv.2.act_quantizer,act,8,5.0,2,,,
features.18.0.weight_quantizer,weight,8,0.0,7,,31.49,0.0
features.18.0.bias_quantizer,weight,8,3.0,4,,48.68,0.0
features.18.0.act_quantizer,act,8,5.0,2,"(0.0, None)",,
classifier.1.weight_quantizer,weight,8,-1.0,8,,33.34,0.0
classifier.1.bias_quantizer,weight,8,-1.0,8,,35.52,0.0
classifier.1.act_quantizer,act,8,3.0,4,,,
add.quantizer,act,8,7.0,0,,,
add_1.quantizer,act,8,7.0,0,,,
add_2.quantizer,act,8,7.0,0,,,
add_3.quantizer,act,8,6.0,1,,,
add_4.quantizer,act,8,6.0,1,,,
add_5.quantizer,act,8,6.0,1,,,
add_6.quantizer,act,8,6.0,1,,,
add_7.quantizer,act,8,7.0,0,,,
add_8.quantizer,act,8,6.0,1,,,
add_9.quantizer,act,8,6.0,1,,,
adaptive_avg_pool2d.quantizer,act,8,4.0,3,,,
quant_stub.quantizer,act,8,2.0,5,,,
